date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:22:42	43/43	---MCZ	200	added ('OK')	text/plain	etag:W/%2262df5f54-17%22	https://vinfastdungthobinhxuyen.vn/robots.txt		(from )
06:22:42	98353/98353	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202025%2023:22:09%20GMT	https://vinfastdungthobinhxuyen.vn/	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/index.html	(from )
06:22:43	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Aug%202025%2023:22:09%20GMT	https://cdn4828.cdn4s7.io.vn/media/san-pham/vf5/vinfast-231207_0079_vf-5-765x430.jpg	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/cdn4828.cdn4s7.io.vn/media/san-pham/vf5/vinfast-231207_0079_vf-5-765x430.0.delayed	(from https://vinfastdungthobinhxuyen.vn/)
06:22:43	263006/263006	---M--	200	added ('OK')	image/x-icon	etag:%2267f9c0f4-4035e%22	https://vinfastdungthobinhxuyen.vn/favicon.ico	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/favicon.ico	(from https://vinfastdungthobinhxuyen.vn/)
06:22:43	163542/163542	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-27ed6%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/bootstrap.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/bootstrap.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:43	18820/18820	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-4984%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/swiper.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/swiper.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:43	234259/234259	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-39313%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/lib/fontawesome/css/fontawesome.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/lib/fontawesome/css/fontawesome.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:44	160/160	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-a0%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/lib/fontawesome/css/light.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/lib/fontawesome/css/light.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:44	160/160	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-a0%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/lib/fontawesome/css/solid.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/lib/fontawesome/css/solid.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:44	23261/23261	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-5add%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/lib/fontawesome/css/brands.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/lib/fontawesome/css/brands.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:44	25821/25821	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-64dd%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/lightgallery.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/lightgallery.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:45	855/855	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-357%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/variable.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/variable.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:45	5476/5476	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-1564%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/compare.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/compare.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:45	94982/94982	---MCZ	200	added ('OK')	text/css	etag:W/%22688af4bb-17306%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/page.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/page.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:45	18655/18655	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8c729-48df%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/utilities.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/utilities.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:45	11349/11349	---MCZ	200	added ('OK')	text/css	etag:W/%2268070a34-2c55%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/custom.css	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/css/custom.css	(from https://vinfastdungthobinhxuyen.vn/)
06:22:46	424536/424536	---M--	200	added ('OK')	font/woff2	etag:%2267f8c729-67a58%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-light-300.woff2	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-light-300.woff2	(from https://vinfastdungthobinhxuyen.vn/)
06:22:46	1100404/1100404	---M--	200	added ('OK')	application/octet-stream	etag:%2267f8c729-10ca74%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-light-300.ttf	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-light-300.ttf	(from https://vinfastdungthobinhxuyen.vn/)
06:22:46	329204/329204	---M--	200	added ('OK')	font/woff2	etag:%2267f8c729-505f4%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-solid-900.woff2	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-solid-900.woff2	(from https://vinfastdungthobinhxuyen.vn/)
06:22:46	866192/866192	---M--	200	added ('OK')	application/octet-stream	etag:%2267f8c729-d3790%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-solid-900.ttf	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-solid-900.ttf	(from https://vinfastdungthobinhxuyen.vn/)
06:22:46	105768/105768	---M--	200	added ('OK')	font/woff2	etag:%2267f8c729-19d28%22	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-brands-400.woff2	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fa-brands-400.woff2	(from https://vinfastdungthobinhxuyen.vn/)
06:22:47	3758/3758	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Aug%202025%2023:22:13%20GMT	https://vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fonts/fa-brands-400.ttf	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/templates/oto03/assets/fonts/fonts/fa-brands-400.ttf	(from https://vinfastdungthobinhxuyen.vn/)
06:22:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2025%20Aug%202025%2023:22:13%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/www.googletagmanager.com/gtm.145445.delayed	(from https://vinfastdungthobinhxuyen.vn/)
06:22:47	165885/165885	---M--	200	added ('OK')	image/png	etag:%22688af3e4-287fd%22	https://cdn4828.cdn4s7.io.vn/media/logo/logo-4.png	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/cdn4828.cdn4s7.io.vn/media/logo/logo-4.png	(from https://vinfastdungthobinhxuyen.vn/)
06:22:48	123074/123074	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202025%2023:22:14%20GMT	https://vinfastdungthobinhxuyen.vn/minio-green	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/minio-green.html	(from https://vinfastdungthobinhxuyen.vn/)
06:22:48	120997/120997	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202025%2023:22:14%20GMT	https://vinfastdungthobinhxuyen.vn/herio-green	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/herio-green.html	(from https://vinfastdungthobinhxuyen.vn/)
06:22:48	76332/76332	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Aug%202025%2023:22:15%20GMT	https://vinfastdungthobinhxuyen.vn/nerio-green	C:/New%20folder/https___vinfastdungthobinhxuyen.vn_/vinfastdungthobinhxuyen.vn/nerio-green.html	(from https://vinfastdungthobinhxuyen.vn/)
